height_score,player_x,player_y,nearest_plat_x,nearest_plat_y
8,530,-34,390,-24
8,521,-38,390,-24
8,512,-41,390,-24
8,502,-43,390,-24
8,492,-44,390,-24
8,481,-44,390,-24
8,470,-59,390,-24
8,458,-78,390,-24
9,446,-96,390,-24
9,433,-113,390,-24
9,421,-129,390,-24
9,410,-144,390,-24
9,400,-158,461,-264
10,391,-171,461,-264
10,383,-183,461,-264
10,376,-194,461,-264
10,370,-204,461,-264
11,365,-213,461,-264
11,361,-221,461,-264
11,358,-228,461,-264
11,356,-234,461,-264
11,358,-239,461,-264
12,361,-243,461,-264
12,364,-246,461,-264
12,368,-248,461,-264
12,372,-249,461,-264
12,377,-249,461,-264
12,382,-248,461,-264
12,388,-246,461,-264
12,394,-243,461,-264
12,399,-239,461,-264
12,403,-235,461,-264
12,406,-230,461,-264
12,408,-224,461,-264
12,409,-217,461,-264
12,409,-209,461,-264
12,409,-200,461,-264
12,409,-190,461,-264
12,409,-179,461,-264
12,409,-167,461,-264
12,409,-154,461,-264
12,409,-140,390,-24
12,409,-125,390,-24
12,409,-109,390,-24
12,409,-92,390,-24
12,409,-74,390,-24
12,409,-74,390,-24
12,409,-143,390,-24
12,409,-211,461,-264
12,409,-278,461,-264
13,409,-344,480,-371
13,409,-409,480,-371
13,409,-473,496,-476
14,409,-536,496,-476
15,409,-598,480,-695
16,409,-659,480,-695
17,409,-719,480,-695
18,409,-778,480,-695
19,409,-836,389,-910
20,409,-893,389,-910
21,409,-949,389,-910
22,409,-1004,389,-910
23,409,-1058,389,-910
24,409,-1111,389,-910
25,409,-1163,479,-1343
26,409,-1214,479,-1343
28,409,-1264,479,-1343
29,409,-1313,479,-1343
30,409,-1361,479,-1343
31,409,-1408,479,-1343
32,409,-1454,479,-1343
33,409,-1500,433,-1618
34,409,-1545,433,-1618
35,409,-1589,433,-1618
36,409,-1632,433,-1618
36,409,-1674,433,-1618
37,409,-1715,433,-1618
38,409,-1755,436,-1818
39,409,-1794,436,-1818
40,409,-1832,436,-1818
41,409,-1869,436,-1818
42,409,-1905,380,-1930
42,409,-1940,380,-1930
43,409,-1974,380,-1930
44,409,-2007,380,-1930
45,409,-2039,380,-1930
45,407,-2070,380,-1930
46,405,-2100,380,-1930
47,402,-2129,380,-1930
47,399,-2157,380,-1930
48,395,-2184,380,-1930
49,391,-2210,187,-2024
49,386,-2235,187,-2024
50,381,-2259,187,-2024
50,375,-2282,189,-2499
51,369,-2304,189,-2499
52,362,-2325,189,-2499
52,355,-2345,189,-2499
53,347,-2364,189,-2499
53,339,-2382,189,-2499
53,330,-2399,189,-2499
54,321,-2415,189,-2499
54,311,-2430,189,-2499
55,301,-2444,189,-2499
55,290,-2457,189,-2499
55,279,-2469,189,-2499
56,267,-2480,189,-2499
56,255,-2490,189,-2499
56,242,-2499,189,-2499
56,229,-2507,189,-2499
57,215,-2514,189,-2499
57,201,-2520,189,-2499
57,186,-2525,189,-2499
57,171,-2529,189,-2499
57,155,-2532,189,-2499
58,139,-2534,189,-2499
58,122,-2535,189,-2499
58,105,-2535,189,-2499
58,87,-2534,189,-2499
58,70,-2532,189,-2499
58,54,-2529,189,-2499
58,56,-2526,189,-2499
58,59,-2522,189,-2499
58,62,-2517,189,-2499
58,66,-2511,189,-2499
58,69,-2504,189,-2499
58,71,-2496,189,-2499
58,72,-2487,189,-2499
58,72,-2477,189,-2499
58,72,-2466,55,-2349
58,72,-2454,55,-2349
58,72,-2441,55,-2349
58,72,-2427,55,-2349
58,72,-2412,55,-2349
58,72,-2396,55,-2349
58,72,-2384,55,-2349
58,72,-2403,55,-2349
58,72,-2421,55,-2349
58,72,-2438,55,-2349
58,72,-2454,55,-2349
58,72,-2469,189,-2499
58,72,-2483,189,-2499
58,72,-2496,189,-2499
58,72,-2508,189,-2499
58,72,-2519,189,-2499
58,72,-2529,189,-2499
58,72,-2538,189,-2499
58,72,-2546,189,-2499
58,72,-2553,189,-2499
58,72,-2559,189,-2499
58,72,-2564,189,-2499
58,72,-2568,189,-2499
59,72,-2571,189,-2499
59,72,-2573,189,-2499
59,72,-2574,189,-2499
59,72,-2574,189,-2499
59,72,-2573,189,-2499
59,72,-2571,189,-2499
59,72,-2568,189,-2499
59,72,-2564,189,-2499
59,72,-2560,189,-2499
59,72,-2555,189,-2499
59,72,-2549,189,-2499
59,72,-2542,189,-2499
59,72,-2534,189,-2499
59,72,-2525,189,-2499
59,72,-2515,189,-2499
59,72,-2504,189,-2499
59,72,-2492,189,-2499
59,72,-2479,189,-2499
59,72,-2465,55,-2349
59,74,-2450,55,-2349
59,77,-2434,55,-2349
59,80,-2417,55,-2349
59,84,-2399,55,-2349
59,88,-2384,55,-2349
59,93,-2403,55,-2349
59,98,-2421,55,-2349
59,104,-2438,55,-2349
59,110,-2454,189,-2499
59,117,-2469,189,-2499
59,124,-2483,189,-2499
59,132,-2496,189,-2499
59,140,-2508,189,-2499
59,149,-2519,189,-2499
59,158,-2529,189,-2499
59,168,-2538,189,-2499
59,178,-2546,189,-2499
59,189,-2553,240,-2556
59,200,-2559,240,-2556
59,212,-2564,240,-2556
59,224,-2568,240,-2556
59,237,-2571,240,-2556
59,249,-2573,240,-2556
59,260,-2574,240,-2556
59,270,-2574,240,-2556
59,279,-2606,240,-2556
59,287,-2675,303,-2763
59,294,-2743,303,-2763
60,300,-2810,303,-2763
61,305,-2876,394,-2909
62,309,-2941,394,-2909
63,312,-3005,394,-2909
64,314,-3068,394,-2909
65,315,-3130,118,-3099
66,315,-3191,487,-3237
67,315,-3251,487,-3237
68,315,-3310,465,-3404
69,315,-3368,465,-3404
70,315,-3425,465,-3404
71,315,-3481,311,-3594
73,315,-3536,311,-3594
74,315,-3590,311,-3594
75,315,-3643,311,-3594
76,315,-3695,311,-3594
77,315,-3746,414,-3775
78,315,-3796,414,-3775
79,315,-3845,414,-3775
80,315,-3893,414,-3775
81,315,-3940,414,-3775
82,315,-3986,445,-4141
83,315,-4032,445,-4141
84,315,-4077,445,-4141
85,315,-4121,445,-4141
86,315,-4164,445,-4141
87,315,-4206,445,-4141
88,315,-4247,445,-4141
89,315,-4287,445,-4141
90,315,-4326,416,-4506
91,315,-4364,416,-4506
91,315,-4401,416,-4506
92,315,-4437,416,-4506
93,315,-4472,416,-4506
94,315,-4506,416,-4506
95,315,-4539,416,-4506
95,315,-4571,416,-4506
96,315,-4602,416,-4506
97,315,-4632,416,-4506
97,315,-4661,416,-4506
98,315,-4689,402,-4853
99,315,-4716,402,-4853
99,315,-4742,402,-4853
100,315,-4767,402,-4853
101,315,-4791,402,-4853
101,315,-4814,402,-4853
102,315,-4836,402,-4853
102,315,-4857,402,-4853
103,315,-4877,402,-4853
103,315,-4896,402,-4853
104,315,-4914,402,-4853
104,315,-4931,307,-5020
104,315,-4947,307,-5020
105,315,-4962,307,-5020
105,315,-4976,307,-5020
106,315,-4989,307,-5020
106,315,-5001,307,-5020
106,315,-5012,307,-5020
107,315,-5022,307,-5020
107,315,-5031,307,-5020
107,315,-5039,307,-5020
107,315,-5046,307,-5020
108,315,-5052,307,-5020
108,315,-5057,307,-5020
108,315,-5061,307,-5020
108,315,-5064,307,-5020
108,315,-5066,307,-5020
108,315,-5067,307,-5020
108,315,-5067,307,-5020
109,315,-5066,307,-5020
109,315,-5064,307,-5020
109,315,-5061,307,-5020
109,315,-5058,307,-5020
109,315,-5055,307,-5020
109,315,-5074,307,-5020
109,315,-5092,325,-5128
109,315,-5109,325,-5128
109,315,-5125,325,-5128
109,315,-5140,325,-5128
109,315,-5154,325,-5128
110,315,-5167,325,-5128
110,315,-5179,325,-5128
110,315,-5190,325,-5128
110,315,-5200,325,-5128
111,315,-5209,325,-5128
111,315,-5217,325,-5128
111,315,-5224,325,-5128
111,315,-5230,325,-5128
111,315,-5235,325,-5128
112,315,-5239,325,-5128
112,315,-5242,325,-5128
112,315,-5244,325,-5128
112,315,-5245,325,-5128
112,315,-5245,325,-5128
112,317,-5244,325,-5128
112,320,-5242,325,-5128
112,323,-5239,325,-5128
112,327,-5235,325,-5128
112,331,-5231,325,-5128
112,336,-5226,325,-5128
112,341,-5220,325,-5128
112,347,-5213,325,-5128
112,353,-5205,325,-5128
112,358,-5196,325,-5128
112,362,-5186,325,-5128
112,365,-5175,325,-5128
112,367,-5163,325,-5128
112,368,-5163,325,-5128
112,368,-5182,325,-5128
112,368,-5200,325,-5128
112,368,-5217,325,-5128
112,368,-5233,325,-5128
112,368,-5248,325,-5128
112,368,-5262,325,-5128
112,368,-5275,325,-5128
113,368,-5287,325,-5128
113,368,-5298,325,-5128
113,368,-5308,325,-5128
113,368,-5317,325,-5128
113,368,-5325,408,-5518
113,368,-5332,408,-5518
114,366,-5338,408,-5518
114,364,-5343,408,-5518
114,361,-5347,408,-5518
114,358,-5350,408,-5518
114,354,-5352,408,-5518
114,350,-5353,408,-5518
114,345,-5353,408,-5518
114,341,-5352,408,-5518
114,338,-5350,408,-5518
114,336,-5347,408,-5518
114,335,-5343,408,-5518
114,335,-5339,408,-5518
114,335,-5334,408,-5518
114,335,-5328,325,-5128
115,335,-5321,325,-5128
115,335,-5313,325,-5128
